"seduf" "lfprf" "exyedu" "liex" "gni" "mamor" "adbir" "perep"
"Norway" 97.4 61.2 17.5 81.6 "64,992" 4 7.8 39.6
"Australia" 94.3 58.8 20.2 82.4 "42,261" 6 12.1 30.5
"Switzerland" 95 61.8 15.8 83 "56,431" 6 1.9 28.5
"Denmark" 95.5 58.7 18.7 80.2 "44,025" 5 5.1 38
"Netherlands" 87.7 58.5 17.9 81.6 "45,435" 6 6.2 36.9
"Germany" 96.3 53.6 16.5 80.9 "43,919" 7 3.8 36.9
"Ireland" 80.5 53.1 18.6 80.9 "39,568" 9 8.2 19.9
"United States" 95.1 56.3 16.5 79.1 "52,947" 28 31 19.4
"Canada" 100 61.6 15.9 82 "42,155" 11 14.5 28.2
"New Zealand" 95 62 19.2 81.8 "32,689" 8 25.3 31.4
"Singapore" 74.1 58.8 15.4 83 "76,628" 6 6 25.3
"Hong Kong, China (SAR)" 72.2 51.3 15.6 84 "53,959" NA 3.3 NA
"Liechtenstein" NA NA 15 80 "79,851" NA NA 20
"Sweden" 86.5 60.3 15.8 82.2 "45,636" 4 6.5 43.6
"United Kingdom" 99.8 55.7 16.2 80.7 "39,267" 8 25.8 23.5
"Iceland" 91 70.5 19 82.6 "35,182" 4 11.5 41.3
"Korea (Republic of)" 77 50.1 16.9 81.9 "33,890" 27 2.2 16.3
"Israel" 84.4 57.9 16 82.4 "30,676" 2 7.8 22.5
"Luxembourg" 100 50.7 13.9 81.7 "58,711" 11 8.3 28.3
"Japan" 87 48.8 15.3 83.5 "36,927" 6 5.4 11.6
"Belgium" 77.5 47.5 16.3 80.8 "41,187" 6 6.7 42.4
"France" 78 50.7 16 82.2 "38,056" 12 5.7 25.7
"Austria" 100 54.6 15.7 81.4 "43,869" 4 4.1 30.3
"Finland" 100 55.7 17.1 80.8 "38,695" 4 9.2 42.5
"Slovenia" 95.8 52.3 16.8 80.4 "27,852" 7 0.6 27.7
"Spain" 66.8 52.5 17.3 82.6 "32,045" 4 10.6 38
"Italy" 71.2 39.6 16 83.1 "33,030" 4 4 30.1
"Czech Republic" 99.9 51.1 16.4 78.6 "26,660" 5 4.9 18.9
"Greece" 59.5 44.2 17.6 80.9 "24,524" 5 11.9 21
"Estonia" 100 56.2 16.5 76.8 "25,214" 11 16.8 19.8
"Brunei Darussalam" 63.9 52.6 14.5 78.8 "72,570" 27 23 NA
"Cyprus" 76 56 14 80.2 "28,633" 10 5.5 12.5
"Qatar" 66.7 50.8 13.8 78.2 "123,124" 6 9.5 0
"Andorra" 49.5 NA 13.5 81.3 "43,978" NA NA 50
"Slovakia" 99.1 51.1 15.1 76.3 "25,845" 7 15.9 18.7
"Poland" 79.4 48.9 15.5 77.4 "23,177" 3 12.2 22.1
"Lithuania" 89.1 55.8 16.4 73.3 "24,500" 11 10.6 23.4
"Malta" 68.6 37.9 14.4 80.6 "27,930" 9 18.2 13
"Saudi Arabia" 60.5 20.2 16.3 74.3 "52,821" 16 10.2 19.9
"Argentina" 56.3 47.5 17.9 76.3 "22,050" 69 54.4 36.8
"United Arab Emirates" 73.1 46.5 13.3 77 "60,868" 8 27.6 17.5
"Chile" 73.3 49.2 15.2 81.7 "21,290" 22 55.3 15.8
"Portugal" 47.7 54.9 16.3 80.9 "25,757" 8 12.6 31.3
"Hungary" 97.9 44.8 15.4 75.2 "22,916" 14 12.1 10.1
"Bahrain" 56.7 39.2 14.4 76.6 "38,599" 22 13.8 15
"Latvia" 98.9 54.9 15.2 74.2 "22,281" 13 13.5 18
"Croatia" 85 44.7 14.8 77.3 "19,409" 13 12.7 25.8
"Kuwait" 55.6 43.6 14.7 74.4 "83,961" 14 14.5 1.5
"Montenegro" 84.2 43 15.2 76.2 "14,558" 7 15.2 17.3
"Belarus" 87 50.1 15.7 71.3 "16,676" 1 20.6 30.1
"Russian Federation" 89.6 57.1 14.7 70.1 "22,352" 24 25.7 14.5
"Oman" 47.2 29 13.6 76.8 "34,858" 11 10.6 9.6
"Romania" 86.1 48.7 14.2 74.7 "18,108" 33 31 12
"Uruguay" 54.4 55.6 15.5 77.2 "19,283" 14 58.3 11.5
"Bahamas" 91.2 69.3 12.6 75.4 "21,336" 37 28.5 16.7
"Kazakhstan" 95.3 67.7 15 69.4 "20,867" 26 29.9 20.1
"Barbados" 89.5 65.9 15.4 75.6 "12,488" 52 48.4 19.6
"Antigua and Barbuda" NA NA 14 76.1 "20,070" NA 49.3 25.7
"Bulgaria" 93 47.9 14.4 74.2 "15,596" 5 35.9 20.4
"Palau" NA NA 13.7 72.7 "13,496" NA NA 10.3
"Panama" 54 49 13.3 77.6 "18,192" 85 78.5 19.3
"Malaysia" 65.1 44.4 12.7 74.7 "22,762" 29 5.7 14.2
"Mauritius" 49.4 43.6 15.6 74.4 "17,470" 73 30.9 11.6
"Seychelles" 66.9 NA 13.4 73.1 "23,300" NA 56.3 43.8
"Trinidad and Tobago" 59.7 53 12.3 70.4 "26,090" 84 34.8 24.7
"Serbia" 58.4 44.5 14.4 74.9 "12,190" 16 16.9 34
"Cuba" 74.3 43.4 13.8 79.4 "7,301" 80 43.1 48.9
"Lebanon" 53 23.3 13.8 79.3 "16,509" 16 12 3.1
"Costa Rica" 50.7 46.6 13.9 79.4 "13,413" 38 60.8 33.3
"Iran (Islamic Republic of)" 62.2 16.6 15.1 75.4 "15,440" 23 31.6 3.1
"Venezuela (Bolivarian Republic of)" 56.6 51.1 14.2 74.2 "16,159" 110 83.2 17
"Turkey" 39 29.4 14.5 75.3 "18,677" 20 30.9 14.4
"Sri Lanka" 72.7 35.1 13.7 74.9 "9,779" 29 16.9 5.8
"Mexico" 55.7 45.1 13.1 76.8 "16,056" 49 63.4 37.1
"Brazil" 54.6 59.4 15.2 74.5 "15,175" 69 70.8 9.6
"Georgia" 89.7 56.5 13.8 74.9 "7,164" 41 46.8 11.3
"Saint Kitts and Nevis" NA NA 12.9 73.8 "20,805" NA NA 6.7
"Azerbaijan" 93.7 62.9 11.9 70.8 "16,428" 26 40 15.6
"Grenada" NA NA 15.8 73.4 "10,939" 23 35.4 25
"Jordan" 69.5 15.6 13.5 74 "11,365" 50 26.5 11.6
"The former Yugoslav Republic of Macedonia" 40.2 43.1 13.4 75.4 "11,780" 7 18.3 33.3
"Ukraine" 91.7 53.2 15.1 71 "8,178" 23 25.7 11.8
"Algeria" 26.7 15.2 14 74.8 "13,054" 89 10 25.7
"Peru" 56.3 68.2 13.1 74.6 "11,015" 89 50.7 22.3
"Albania" 81.8 44.9 11.8 77.8 "9,943" 21 15.3 20.7
"Armenia" 94 54.2 12.3 74.7 "8,124" 29 27.1 10.7
"Bosnia and Herzegovina" 44.9 34.1 13.6 76.5 "9,638" 8 15.1 19.3
"Ecuador" 40.1 54.7 14.2 75.9 "10,605" 87 77 41.6
"Saint Lucia" NA 62.7 12.6 75.1 "9,765" 34 56.3 20.7
"China" 58.7 63.9 13.1 75.8 "12,547" 32 8.6 23.6
"Fiji" 64.2 37.5 15.7 70 "7,493" 59 42.8 14
"Mongolia" 85.3 56.6 14.6 69.4 "10,729" 68 18.7 14.9
"Thailand" 35.7 64.3 13.5 74.4 "13,323" 26 41 6.1
"Dominica" 29.7 NA 12.7 77.8 "9,994" NA NA 21.9
"Libya" 55.5 30 14 71.6 "14,911" 15 2.5 16
"Tunisia" 32.8 25.1 14.6 74.8 "10,404" 46 4.6 31.3
"Colombia" 56.9 55.8 13.5 74 "12,040" 83 68.5 20.9
"Saint Vincent and the Grenadines" NA 55.7 13.4 72.9 "9,937" 45 54.5 13
"Jamaica" 74 56.1 12.4 75.7 "7,415" 80 70.1 16.7
"Tonga" 87.5 53.5 14.7 72.8 "5,069" 120 18.1 0
"Belize" 76.4 49.2 13.6 70 "7,614" 45 71.4 13.3
"Dominican Republic" 55.6 51.3 13.1 73.5 "11,883" 100 99.6 19.1
"Suriname" 44.6 40.5 12.7 71.1 "15,617" 130 35.2 11.8
"Maldives" 27.3 56.2 13 76.8 "12,328" 31 4.2 5.9
"Samoa" 64.3 23.5 12.9 73.4 "5,327" 58 28.3 6.1
"Botswana" 73.6 71.9 12.5 64.5 "16,646" 170 44.2 9.5
"Moldova (Republic of)" 93.6 37.6 11.9 71.6 "5,223" 21 29.3 20.8
"Egypt" 43.9 23.7 13.5 71.1 "10,512" 45 43 2.2
"Turkmenistan" NA 46.9 10.8 65.6 "13,066" 61 18 25.8
"Gabon" 53.9 56.2 12.5 64.4 "16,367" 240 103 16.2
"Indonesia" 39.9 51.4 13 68.9 "9,788" 190 48.3 17.1
"Paraguay" 36.8 55.7 11.9 72.9 "7,643" 110 67 16.8
"Palestine, State of" 53.9 15.4 13 72.9 "4,699" NA 45.8 NA
"Uzbekistan" NA 48.1 11.5 68.4 "5,567" 36 38.8 16.4
"Philippines" 65.9 51.1 11.3 68.2 "7,915" 120 46.8 27.1
"El Salvador" 36.8 47.8 12.3 73 "7,349" 69 76 27.4
"South Africa" 72.7 44.5 13.6 57.4 "12,122" 140 50.9 40.7
"Viet Nam" 59.4 73 11.9 75.8 "5,092" 49 29 24.3
"Bolivia (Plurinational State of)" 47.6 64.2 13.2 68.3 "5,760" 200 71.9 51.8
"Kyrgyzstan" 94.5 56 12.5 70.6 "3,044" 75 29.3 23.3
"Iraq" 27.8 14.9 10.1 69.4 "14,003" 67 68.7 26.5
"Cabo Verde" NA 51.5 13.5 73.3 "6,094" 53 70.6 20.8
"Micronesia (Federated States of)" NA NA 11.7 69.1 "3,432" 96 18.6 0
"Guyana" 60.3 42.6 10.3 66.4 "6,522" 250 88.5 31.3
"Nicaragua" 39.4 47.4 11.5 74.9 "4,457" 100 100.8 39.1
"Morocco" 20.7 26.5 11.6 74 "6,850" 120 35.8 11
"Namibia" 33.3 54.7 11.3 64.8 "9,418" 130 54.9 37.7
"Guatemala" 21.9 49.3 10.7 71.8 "6,929" 140 97.2 13.3
"Tajikistan" 95.1 58.9 11.2 69.4 "2,517" 44 42.8 15.2
"India" 27 27 11.7 68 "5,497" 190 32.8 12.2
"Honduras" 28 42.8 11.1 73.1 "3,938" 120 84 25.8
"Bhutan" 34 66.7 12.6 69.5 "7,176" 120 40.9 8.3
"Timor-Leste" NA 24.6 11.7 68.2 "5,363" 270 52.2 38.5
"Syrian Arab Republic" 29.5 13.5 12.3 69.6 "2,728" 49 41.6 12.4
"Vanuatu" NA 61.5 10.6 71.9 "2,803" 86 44.8 0
"Congo" 39.7 68.5 11.1 62.3 "6,012" 410 126.7 11.5
"Kiribati" NA NA 12.3 66 "2,434" 130 16.6 8.7
"Equatorial Guinea" NA 80.7 9 57.6 "21,056" 290 112.6 19.7
"Zambia" 25.8 73.1 13.5 60.1 "3,734" 280 125.4 12.7
"Ghana" 45.2 67.3 11.5 61.4 "3,852" 380 58.4 10.9
"Lao People's Democratic Republic" 22.9 76.3 10.6 66.2 "4,680" NA 65 25
"Bangladesh" 34.1 57.4 10 71.6 "3,191" 170 80.6 20
"Cambodia" 9.9 78.8 10.9 68.4 "2,949" 170 44.3 19
"Sao Tome and Principe" NA 45.3 11.3 66.5 "2,918" 210 65.1 18.2
"Kenya" 25.3 62.2 11 61.6 "2,762" 400 93.6 20.8
"Nepal" 17.7 79.9 12.4 69.6 "2,311" 190 73.7 29.5
"Pakistan" 19.3 24.6 7.8 66.2 "4,866" 170 27.3 19.7
"Myanmar" 22.9 75.2 8.6 65.9 "4,608" 200 12.1 4.7
"Angola" NA 63.3 11.4 52.3 "6,822" 460 170.2 36.8
"Swaziland" 21.9 43.9 11.3 49 "5,542" 310 72 14.7
"Tanzania (United Republic of)" 5.6 88.1 9.2 65 "2,411" 410 122.7 36
"Nigeria" NA 48.2 9 52.8 "5,341" 560 119.6 6.6
"Cameroon" 21.3 63.8 10.4 55.5 "2,803" 590 115.8 27.1
"Madagascar" NA 86.6 10.3 65.1 "1,328" 440 122.8 20.5
"Zimbabwe" 48.7 83.2 10.9 57.5 "1,615" 470 60.3 35.1
